time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2019-01-20,620195388.6407145,161780525.26357147,77719340.90571423,17800824.43214287,26460634.49571433,94849224.85499993,623044542.0950012
2019-01-21,608282365.1342859,159417637.5114286,74558765.97499993,16896316.012857154,26139413.453571472,91885219.60642852,616094176.6435727
2019-01-22,596016238.2764287,155214059.60214287,71771644.4621428,16572712.15357144,26033081.348571476,89072036.12999995,607400217.2464298
2019-01-23,586691262.8078573,145578562.78357145,70313042.98357137,16212081.368571442,25730887.021428615,86992501.21499994,605563554.5628583
2019-01-24,540616871.8507144,124925655.46071431,61154963.26714279,14528593.730000013,23060804.87642861,76560062.96357138,586767000.0278584
2019-01-25,521692205.39500016,120667480.30357145,57697856.79142851,14232691.23714287,22704092.21071433,72243885.0628571,575444138.1900012
2019-01-26,518715035.3264288,121503088.9157143,56937407.13571422,14515680.25214287,22566133.745000042,71552296.10928567,585467168.0407155
2019-01-27,521800766.42714304,118924629.44642857,54730141.05357136,14355607.642142871,22357472.40071433,68868139.44428566,582987409.2492869
2019-01-28,526600508.4264288,118629289.60642858,54923485.25428564,15117953.075714301,22983766.092142902,67598017.50428566,607015387.7614299
2019-01-29,511553049.2428574,114333832.90857144,52841717.65428565,15394712.025714302,22794017.237857185,65459780.7521428,619388178.3728584
2019-01-30,504853865.2035717,114125802.88214287,52477668.731428504,15700373.133571446,22575865.510714326,64850520.87357137,622794113.0864298
2019-01-31,496192266.9328574,111436348.46928573,51361127.81785707,15601902.480714304,22005563.67857147,62258154.996428505,616030214.8514299
2019-02-01,490048994.61357164,113680831.61000001,52565578.548571356,15726939.503571447,21669235.91857147,62838800.12214279,627785978.5450014
2019-02-02,479256545.5342859,110569794.47071432,52085475.75714278,15485440.888571445,20826492.32642861,60849090.31571422,632448982.4650013
2019-02-03,469088920.79142874,103108005.68142858,50785986.091428496,15008890.550714301,20051548.467857182,58238734.9114285,630186348.7114298
2019-02-04,479703584.752143,100034762.64642859,50304580.49999992,14726896.545714302,19352332.57500004,57510109.79928565,622721069.7878584
2019-02-05,493145861.81000024,91603854.15857145,48246525.51928563,13824548.637857158,18177983.972142898,54481696.09999994,597347844.3328584
2019-02-06,502013578.329286,94446389.47928573,48957362.10857134,13478876.747857157,17862605.840714328,55678086.029285654,591366974.9535729
2019-02-07,499407593.07214314,91802650.51142858,49179105.47785705,13130783.017857159,17587831.48500004,55267163.37214279,572792228.3814299
2019-02-08,533611812.76785743,109358483.49642858,56942219.8957142,13795134.9107143,18642028.062857185,62197134.20642851,605890291.6900014
2019-02-09,544134903.6557146,109896910.15,58382182.58785706,13638591.208571443,18866411.877857186,63160074.02642851,602628584.4171442
2019-02-10,551367060.0864289,111685768.24285714,60408324.81785705,13504112.766428586,18979659.25642861,64197986.184285656,606253119.844287
2019-02-11,531567496.20285743,105023005.59142856,57291358.01857134,12202701.965000015,17796792.511428613,59929452.88785709,565029114.4778584
2019-02-12,546840320.099286,106964020.58142857,57551053.67285705,11640759.160714298,17642060.274285752,59397744.79785709,550888196.2735728
2019-02-13,551814590.8971431,106709563.44285715,57341416.22785705,11274055.372857155,17232376.317142896,57448064.945714235,536784859.3864299
2019-02-14,548322862.2678573,106657344.73214285,57308773.96285706,10918441.55500001,16908158.152142894,57141765.99857138,525580898.5514299
2019-02-15,553489050.1457145,106457545.16857143,56890808.203571334,11019689.797142869,17056841.752142895,56261959.50857138,512676747.9350014
2019-02-16,559054132.3950002,104309764.94785714,56778564.95857134,10855880.072857156,17422085.075000037,55970026.41071423,504892708.1921442
2019-02-17,576168805.1128575,112307599.2242857,59210495.32928563,11275232.332857158,18435177.348571464,59148012.99357138,510892632.1792871
2019-02-18,620586828.7900002,136191956.99357143,69082308.35357134,13143695.452857157,21024450.845000036,69836698.9678571,594587649.2821442
2019-02-19,645605386.9542859,149793810.12285712,74537721.1207142,14366222.655000016,22445239.02571432,75374514.64142852,654237969.2250013
